listing_id,title,price_tnd,surface_m2,rooms,location,latitude,longitude,price_per_m2
1,Un Duplex de Prestige S3 avec vue Nature Verdoyante,1014600.0,267.0,3,La Marsa,36.87146,10.324297,3800.0
2,Duplex à vendre en S3,748800.0,312.0,4,Ariana,36.847803,10.175208,2400.0
3,A Vendre Un Triplex En S4 Aux Berges Du Lac 2,1284800.0,584.0,5,Tunis,36.808573,10.188459,2200.0
4,A vendre S2 au lac2,299000.0,115.0,3,Sousse,35.816258,10.622948,2600.0
5,Triplex S4 La Soukra,759500.0,245.0,6,Hammamet,36.387565,10.612828,3100.0
6,"S2 Moderne à Skyline, Jardins de Carthage",167400.0,93.0,3,Sfax,34.723617,10.772865,1800.0
7,S2 Neuf à la Résidence Jinene Soukra 1 Chotrana 3,271400.0,118.0,3,Nabeul,36.458355,10.736948,2300.0
8,Le projet immobilier Résidence Emna,285000.0,150.0,4,Bizerte,37.271036,9.893239,1900.0
9,Appartement à vendre à Sahloul. 3 chambres agréables,327600.0,156.0,4,Monastir,35.786152,10.815589,2100.0
10,Appartement S3 à vendre aux Berges du Lac 1,1140000.0,300.0,3,La Marsa,36.873907,10.309122,3800.0
11,A VENDRE Loft S2 à Les Berges du Lac 2,350400.0,146.0,1,Ariana,36.870041,10.188462,2400.0
12,A VENDRE Appartement S2 aux berges du lac 2,264000.0,120.0,4,Tunis,36.798336,10.163315,2200.0
13,À Vendre un appartement en S2 aux Berges du Lac 2,208000.0,80.0,3,Sousse,35.836468,10.653482,2600.0
14,A Vendre Appartement s3 à Cité Ettahrir supérieur,384400.0,124.0,4,Hammamet,36.418416,10.606797,3100.0
15,Appartement S2 à Hammamet Nord,279000.0,90.0,3,Hammamet,36.383125,10.597993,3100.0
16,Appartement s2 de 94 m² à la Nouvelle Medina,216200.0,94.0,2,Nabeul,36.465742,10.757543,2300.0
17,Appartement S2 de 117 m² à Nouvelle Médina Vente,222300.0,117.0,2,Bizerte,37.287109,9.868583,1900.0
18,Appartement S2 de 71.25 m² à la Nouvelle Medina,149100.0,71.0,2,Monastir,35.801028,10.847883,2100.0
19,A vendre s2 à la nouvelle médina,273600.0,72.0,3,La Marsa,36.867214,10.317453,3800.0
20,À VENDRE – Appartement S1 – Tanit C,153600.0,64.0,2,Ariana,36.847168,10.212649,2400.0
21,Appartement A05 – S2 – Résidence MAYA à Kairouan,231000.0,105.0,3,Tunis,36.798124,10.170062,2200.0
22,Vend appartement à Sidi Hassine,169000.0,65.0,2,Sousse,35.826327,10.652437,2600.0
23,Spacieux S3 aux Jardins de Carthage 176m² A1 2,545600.0,176.0,4,Hammamet,36.397089,10.597289,3100.0
24,"A saisir un S2 de 82,65 m² à vendre, La Soukra",147600.0,82.0,3,Sfax,34.755411,10.759794,1800.0
25,À Vendre: Un appartement S3 Direct Promoteur,264500.0,115.0,4,Nabeul,36.443722,10.748963,2300.0
26,"Immeuble au centre ville de Midoun 
Djerba",380000.0,200.0,4,Bizerte,37.291701,9.883954,1900.0
27,Un appartement à jinen mansoura kelibia,189000.0,90.0,3,Monastir,35.801801,10.814113,2100.0
28,À Louer un appartement en S2 aux Berges du Lac 2,494000.0,130.0,3,La Marsa,36.862518,10.32251,3800.0
