title,price,location,details
Un Duplex de Prestige S3 avec vue Nature Verdoyante,,,"Prix à consulter | La Soukra Ville, La Soukra | 267m² | 3 Chambres | Jardin"
Duplex à vendre en S3,,,"1 600 000 TND | Les Berges Du Lac 2, Tunis | 312m² | 4 Pièces | 3 Chambres"
A Vendre Un Triplex En S4 Aux Berges Du Lac 2,,,"2 600 000 TND | Les Berges Du Lac 2, Tunis | 584m² | 5 Pièces | 4 Chambres"
A vendre S2 au lac2,,,"560 000 TND | Les Berges Du Lac 2, Tunis | 115m² | 3 Pièces | 2 Chambres"
Triplex S4 La Soukra,,,"870 000 TND | La Soukra Ville, La Soukra | 245m² | 6 Pièces | 4 Chambres"
"S2 Moderne à Skyline, Jardins de Carthage",,,"561 000 TND | Les Jardins de Carthage, La Marsa | 93m² | 3 Pièces | 2 Chambres"
S2 Neuf à la Résidence Jinene Soukra 1 Chotrana 3,,,"Prix à consulter | Chotrana 3, La Soukra | 118m² | 3 Pièces | 2 Chambres"
Le projet immobilier Résidence Emna,Prix à consulter,,"Prix à consulter | IMMOBILIER NEUF | Cité el Ghazela, Raoued | Haut standing | Finalisé"
Appartement à vendre à Sahloul. 3 chambres agréables,,,"Prix à consulter | Sahloul, Sousse | 156m² | 4 Pièces | 3 Chambres"
Appartement S3 à vendre aux Berges du Lac 1,,,"1 050 000 TND | Les Berges Du Lac 1, Tunis | 300m² | 3 Chambres | Terrasse"
A VENDRE Loft S2 à Les Berges du Lac 2,,,"916 000 TND | Les Berges Du Lac 2, Tunis | 146m² | 1 Pièce | 2 Chambres"
A VENDRE Appartement S2 aux berges du lac 2,,,"670 000 TND | Les Berges Du Lac 2, Tunis | 120m² | 4 Pièces | 3 Chambres"
À Vendre un appartement en S2 aux Berges du Lac 2,,,"530 000 TND | Les Berges Du Lac 2, Tunis | 80m² | 3 Pièces | 2 Chambres"
A Vendre Appartement s3 à Cité Ettahrir supérieur,,,"210 000 TND | Ettahrir Superieur, Tunis | 124m² | 4 Pièces | 3 Chambres"
Appartement S2 à Hammamet Nord,,,"350 000 TND | Hammamet Nord, Hammamet | 90m² | 3 Pièces | 3 Chambres"
Appartement s2 de 94 m² à la Nouvelle Medina,,,90 000 TND | Nouvelle Medina | 94m² | 2 Pièces | 2 Chambres
Appartement S2 de 117 m² à Nouvelle Médina Vente,,,292 500 TND | Nouvelle Medina | 117m² | 2 Pièces | 2 Chambres
